"# Table S1: Curated Microvirus Genomes, plus additional Obscuriviridae",,,,,,,,,,,
Genome designation,Reported Source,Source Attribution for Analyses,GC content,Sequence Length (nt),Phylum,Class,Order,Family,Genus,Genus CRISPR prediction,CRISPR Prediction Correct?
Family5_Minot_Diet_SRR5088939_NODE_249_length_6528_cov_55666770,Human,Primate,39,6530,,,,,,,
Family5_Minot_Diet_SRR5088943_NODE_334_length_6444_cov_7066364,Human,Primate,39,6446,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Minot_Diet_SRR5088943_NODE_339_length_6340_cov_416081782,Human,Primate,40,6342,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family5_Minot_Diet_SRR5088943_NODE_349_length_6060_cov_887964030,Human,Primate,39,6062,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_MK496684,Capybara,Other mammal,36,6356,,,,,,,
Family5_MK496695,Capybara,Other mammal,32,5785,,,,,,,
Family5_MK765590,Tortoise,Reptile,36,6154,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_MK765608,Tortoise,Reptile,36,6126,,,,,,,
Family5_MN379629,Chicken,Bird,40,6541,,,,,,,
Family5_MN379636,Chicken,Bird,40,6553,,,,,,,
Family5_MN379638,Chicken,Bird,42,6308,,,,,,,
Family5_MN379639,Chicken,Bird,40,6110,,,,,,,
Family5_MN379646,Chicken,Bird,39,6710,,,,,,,
Family5_MN379648,Chicken,Bird,40,6328,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Monaco_MBA1011_NODE_94_length_6453_cov_69403095,Human,Primate,36,6455,,,,,,,
Family5_Monaco_MBA1029_NODE_25_length_5961_cov_7922452,Human,Primate,41,5961,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Monaco_MBA1055_NODE_95_length_6365_cov_41055784,Human,Primate,39,6367,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Monaco_MBA1062_NODE_77_length_6346_cov_7245907,Human,Primate,38,6346,,,,,,,
Family5_Monaco_MBA1098_NODE_350_length_6212_cov_1399986844,Human,Primate,39,5819,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Monaco_MBA1312_NODE_141_length_6064_cov_10885838,Human,Primate,36,6066,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia,n/a
Family5_Monaco_MBA1742_NODE_45_length_6104_cov_11429162,Human,Primate,41,6104,,,,,,,
Family5_Monaco_MBA1750_NODE_255_length_13395_cov_242175412,Human,Primate,35,6298,,,,,,,
Family5_Monaco_MBA1753_NODE_8_length_6510_cov_173064601,Human,Primate,40,6510,,,,,,,
Family5_Monaco_MBA1754_NODE_22_length_6618_cov_25201432,Human,Primate,36,6618,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family5_Monaco_MBA4020_NODE_14_length_6693_cov_292808225,Human,Primate,41,6693,,,,,,,
Family5_Monaco_MBA4031_NODE_115_length_10011_cov_2288080554,Human,Primate,37,6415,,,,,,,
Family5_Monaco_MBA4037_NODE_3_length_6741_cov_467669010,Human,Primate,38,6741,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Monaco_MBA4037_NODE_4_length_6550_cov_31701771,Human,Primate,39,6550,,,,,,,
Family5_Monaco_MBA4037_NODE_5_length_6502_cov_939555917,Human,Primate,40,6502,,,,,,,
Family5_Nadia_combined_trimmed_NODE_1738_length_7076_cov_93539239,Human,Primate,40,7076,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Nadia_combined_trimmed_NODE_2116_length_6412_cov_207993708,Human,Primate,42,6412,,,,,,,
Family5_Nadia_combined_trimmed_NODE_2137_length_6390_cov_592359747,Human,Primate,38,6390,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_101_NODE_37_length_6788_cov_6666083618,Human,Primate,39,6788,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_104_NODE_28_length_6328_cov_8985334,Human,Primate,39,6328,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas,n/a
Family5_Norman_116_NODE_25_length_6339_cov_8662476,Human,Primate,39,6339,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_117_NODE_21_length_6449_cov_1045179074,Human,Primate,40,6450,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_119_NODE_79_length_6244_cov_7508321,Human,Primate,41,6244,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_124_NODE_44_length_6385_cov_40000474,Human,Primate,38,6385,,,,,,,
Family5_Norman_136_NODE_36_length_12395_cov_11074898379,Human,Primate,40,6326,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_136_NODE_38_length_11701_cov_15245967543,Human,Primate,41,5896,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_136_NODE_55_length_6585_cov_1037468147,Human,Primate,36,6585,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_139_NODE_17_length_6597_cov_7722868,Human,Primate,38,6597,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_165_NODE_25_length_5805_cov_762858783,Human,Primate,39,5805,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_169_NODE_23_length_6134_cov_11270439,Human,Primate,40,6134,,,,,,,
Family5_Norman_20_NODE_18_length_6364_cov_201561579,Human,Primate,39,6364,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_27_NODE_14_length_10606_cov_63054213,Human,Primate,40,6328,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_32_NODE_11_length_6281_cov_124088339,Human,Primate,40,6281,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_32_NODE_2_length_7564_cov_22161406,Human,Primate,37,6079,,,,,,,
Family5_Norman_34_NODE_12_length_6487_cov_28149565,Human,Primate,36,6489,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_5_NODE_11_length_6532_cov_115845144,Human,Primate,37,6532,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_50_NODE_24_length_12053_cov_4872502500,Human,Primate,39,6252,,,,,,,
Family5_Norman_55_NODE_13_length_6184_cov_235763093,Human,Primate,42,6186,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_67_NODE_7_length_6162_cov_10485181,Human,Primate,37,6162,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_7_NODE_37_length_6381_cov_7207240,Human,Primate,38,6381,,,,,,,
Family5_Norman_75_NODE_18_length_6636_cov_80221851,Human,Primate,40,6636,,,,,,,
Family5_Norman_85_NODE_5_length_6097_cov_16736511,Human,Primate,36,6097,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_87_NODE_16_length_10779_cov_54297930,Human,Primate,37,6454,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_88_NODE_7_length_12159_cov_7675149,Human,Primate,40,6279,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Norman_89_NODE_45_length_6348_cov_551538217,Human,Primate,40,6348,,,,,,,
Family5_Norman_9_NODE_45_length_6321_cov_77559847,Human,Primate,38,6321,,,,,,,
Family5_NZ_BAKD01000001_Prevotella_nanceiensis,unkown,Unknown,34,6400,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,
Family5_NZ_CABKNQ010000018_Bacteroides_eggerthii_,Human,Primate,35,6184,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,yes
Family5_NZ_CABMJY010000051_Prevotellaceae,Human,Primate,40,6703,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,,,
Family5_NZ_JVQR01000241_Bacteroides_thetaiotaomicron,Human,Primate,37,6377,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,yes
Family5_Prevotella_Shkoporov_6391,Human,Primate,36,6391,,,,,,,
Family5_QSED01000020_Bacteroides_stercoris,Human,Primate,37,6568,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,
Family5_QTLY01000002_Bacteroides_sp_AF29-11,Human,Primate,39,6645,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,yes
Family5_Rampelli_HCO_70_NODE_3042_length_6387_cov_2935881,Human,Primate,40,6389,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Rampelli_Norman_13_NODE_4614_length_6235_cov_15338673,Human,Primate,41,5998,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Reyes_2015_F138_T2_NODE_51_length_5864_cov_3656092,Human,Primate,34,5866,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family5_Reyes_2015_F209_T1_NODE_18_length_6414_cov_53244950,Human,Primate,36,6287,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Reyes_2015_F37_Sibling_NODE_24_length_5925_cov_5328217,Human,Primate,35,5925,,,,,,,
Family5_Reyes_2015_F47_T2_NODE_27_length_16915_cov_66262509,Human,Primate,41,4397,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Reyes_2015_F57_Mother_NODE_9_length_6307_cov_13101133,Human,Primate,41,6307,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family5_Reyes_2015_F93_T1_NODE_40_length_6640_cov_11337018,Human,Primate,37,6642,,,,,,,
Family5_Reyes_2015_F93_T2_NODE_77_length_6410_cov_23313385,Human,Primate,39,6410,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_RKDM01000012_Prevotellamassilia_timonensis,Human,Primate,41,6292,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia,Prevotellamassilia,yes
Family5_Second_Zuo_C8_NODE_88_length_18322_cov_12255816_extraction,Human,Primate,39,6369,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Second_Zuo_N7_NODE_291_length_12242_cov_331095183,Human,Primate,40,6280,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_5227,Human,Primate,41,5227,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_5773,Human,Primate,39,5773,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_5811,Human,Primate,37,5811,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_5844,Human,Primate,40,5844,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_5909,Human,Primate,40,5909,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_5922,Human,Primate,39,5922,,,,,,,
Family5_Shkoporov_6005,Human,Primate,38,6005,,,,,,,
Family5_Shkoporov_6025,Human,Primate,41,6025,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6052,Human,Primate,39,6052,,,,,,,
Family5_Shkoporov_6053,Human,Primate,38,6053,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas,n/a
Family5_Shkoporov_6083,Human,Primate,40,6083,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6086,Human,Primate,40,6086,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6114,Human,Primate,40,6114,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6141,Human,Primate,37,6141,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6160,Human,Primate,37,6160,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas,n/a
Family5_Shkoporov_6179,Human,Primate,40,6179,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6195,Human,Primate,40,6195,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6199,Human,Primate,41,6199,,,,,,,
Family5_Shkoporov_6210,Human,Primate,38,6210,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas,n/a
Family5_Shkoporov_6225,Human,Primate,40,6225,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6228,Human,Primate,41,6228,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6240,Human,Primate,39,6240,,,,,,,
Family5_Shkoporov_6243,Human,Primate,40,6243,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6255,Human,Primate,41,6255,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6305,Human,Primate,39,6305,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family5_Shkoporov_6309,Human,Primate,39,6309,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6328,Human,Primate,40,6328,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6330,Human,Primate,39,6330,,,,,,,
Family5_Shkoporov_6341,Human,Primate,37,6341,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6358,Human,Primate,36,6358,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6364,Human,Primate,37,6364,,,,,,,
Family5_Shkoporov_6366,Human,Primate,37,6366,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6370,Human,Primate,36,6370,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6392_2,Human,Primate,38,6392,,,,,,,
Family5_Shkoporov_6436,Human,Primate,37,6436,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6447,Human,Primate,37,6447,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6447_2,Human,Primate,37,6447,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6487,Human,Primate,38,6487,Bacteroidetes,Bacteroidia,Bacteroidiales,Odoribacteraceae,Odoribacter,Odoribacter,n/a
Family5_Shkoporov_6496,Human,Primate,40,6496,,,,,,,
Family5_Shkoporov_6502,Human,Primate,40,6502,Bacteroidetes,Bacteroidia,Bacteroidiales,Odoribacteraceae,Odoribacter,Odoribacter,n/a
Family5_Shkoporov_6527,Human,Primate,36,6527,,,,,,,
Family5_Shkoporov_6537,Human,Primate,38,6537,,,,,,,
Family5_Shkoporov_6562_2,Human,Primate,37,6562,,,,,,,
Family5_Shkoporov_6622,Human,Primate,40,6622,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6657,Human,Primate,37,6657,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6673,Human,Primate,40,6673,,,,,,,
Family5_Shkoporov_6688,Human,Primate,38,6688,,,,,,,
Family5_Shkoporov_6718,Human,Primate,40,6718,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Shkoporov_6804,Human,Primate,40,6805,Bacteroidetes,Bacteroidia,Bacteroidiales,Odoribacteraceae,Odoribacter,Odoribacter,n/a
Family5_Shkoporov_6876,Human,Primate,40,6876,Bacteroidetes,Bacteroidia,Bacteroidiales,Odoribacteraceae,Odoribacter,Odoribacter,n/a
Family5_Shkoporov_6935,Human,Primate,40,6935,Bacteroidetes,Bacteroidia,Bacteroidiales,Odoribacteraceae,Odoribacter,Odoribacter,n/a
Family5_Shkoporov_6980,Human,Primate,38,6980,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_SJXE01000020_Corallincola_sp_DASS28,Marine sediment MAG,Sediment/soil,37,6363,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Corallincola,,
Family5_SNQI01000009_Gramella_jeungdoensis,Solar saltern MAG,Unknown,41,6189,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,Bacteroides,no
Family5_Third_Zuo_C8_NODE_88_length_18322_cov_12255816_extraction_2,Human,Primate,39,6146,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_UFSX01000001_Bacteroides_eggerthii,Human,Primate,35,6168,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,yes
Family5_VCOW01000045_Pseudomonas_aeruginosa,Human,Primate,37,6580,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteroides,no
Family5_VWLE01000092_Bacteroides_ovatus,Human,Primate,35,6605,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,yes
Family5_Yinda_HP12_trimmed_NODE_94_length_6298_cov_878889797,Human,Primate,37,6300,,,,,,,
Family5_Yinda_HP16_trimmed_NODE_41_length_6293_cov_27651331,Human,Primate,40,6294,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Yinda_HP23_trimmed_NODE_72_length_6369_cov_63682610,Human,Primate,39,6369,,,,,,,
Family5_Yinda_HP23_trimmed_NODE_75_length_6308_cov_104187270,Human,Primate,37,6308,,,,,,,
Family5_Yinda_HP36_trimmed_NODE_33_length_6093_cov_31217787,Human,Primate,37,6093,,,,,,,
Family5_Yinda_HP7_trimmed_NODE_67_length_6234_cov_876203755,Human,Primate,35,6234,,,,,,,
Family5_Zhao_Case_8_NODE_14_length_5871_cov_3281361761,Human,Primate,38,5903,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_C2_NODE_202_length_5823_cov_13238384,Human,Primate,41,5823,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_C7_NODE_308_length_10904_cov_77464282,Human,Primate,41,6211,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_C8_NODE_142_length_14974_cov_560413701,Human,Primate,37,6644,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_C9_NODE_219_length_12063_cov_50051382,Human,Primate,39,6103,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_C9_NODE_893_length_5299_cov_162360031,Human,Primate,38,5301,,,,,,,
Family5_Zuo_D10_NODE_871_length_6170_cov_573114146,Human,Primate,41,6170,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_D3_NODE_1146_length_6041_cov_54727698,Human,Primate,38,6041,,,,,,,
Family5_Zuo_F1_NODE_1551_length_6470_cov_176815277,Human,Primate,38,6470,,,,,,,
Family5_Zuo_F3_NODE_1984_length_6420_cov_668583032,Human,Primate,37,6420,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_F3_NODE_2013_length_6340_cov_17014797,Human,Primate,37,6340,,,,,,,
Family5_Zuo_F4_NODE_1788_length_6604_cov_14642541,Human,Primate,38,6604,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_F4_NODE_674_length_13455_cov_845419851,Human,Primate,39,6342,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_F6_NODE_777_length_11633_cov_541433408,Human,Primate,38,6523,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas,n/a
Family5_Zuo_F9_NODE_1159_length_9181_cov_1086741508,Human,Primate,39,6028,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_N2_NODE_949_length_6599_cov_18190556,Human,Primate,37,6599,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_N3_NODE_521_length_6497_cov_77890872,Human,Primate,38,6497,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family5_Zuo_N9_NODE_651_length_6579_cov_92328786,Human,Primate,38,6581,,,,,,,
Family5b_associated_Shkoporov_6409,Human,Primate,40,6409,,,,,,,
Family6_Bacteroides_caccae_Rampelli_Norman_11_NODE_1530_length_14110_cov_8377446,Human,Primate,36,6299,,,,,,,
Family6_CP041230_Bacteroides_xylanisolvens,Human,Primate,36,6662,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,
Family6_CZAI01000003_Bacteroides_caccae,Human,Primate,35,5799,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,
Family6_CZBL01000008_Bacteroides_caccae,Human,Primate,35,5740,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,
Family6_First_Norman_104_NODE_13_length_12757_cov_153979688,Human,Primate,38,6391,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family6_First_Zuo_N6_NODE_237_length_12664_cov_18164486,Human,Primate,38,6319,,,,,,,
Family6_FMFB01000002_uncultured_Bacteroides_sp,Human,Primate,36,6584,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,yes
Family6_Human_feces_B_007,Human,Primate,41,6233,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,n/a
Family6_Human_feces_C_010,Human,Primate,38,6364,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family6_Human_gut_21_005,Human,Primate,38,6399,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family6_KX513875,Human,Primate,39,6363,,,,,,,
Family6_Lim_Twin_A1_NODE_168_length_5661_cov_58311709,Human,Primate,39,5661,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family6_Ly_CA13_ion_torrent_NODE_103_length_6554_cov_19050623,Human,Primate,39,6554,,,,,,,
Family6_Ly_CA14_ion_torrent_NODE_116_length_6360_cov_582684219,Human,Primate,37,6362,,,,,,,
Family6_Ly_CA23_ion_torrent_NODE_116_length_6574_cov_14752263,Human,Primate,39,6574,,,,,,,
Family6_Ly_CA39_ion_torrent_NODE_42_length_6356_cov_388105856,Human,Primate,40,6356,,,,,,,
Family6_Ly_CA47_ion_torrent_NODE_26_length_6484_cov_104922850,Human,Primate,40,6484,,,,,,,
Family6_Ly_CA47_ion_torrent_NODE_29_length_6459_cov_119229388,Human,Primate,36,6459,,,,,,,
Family6_Ly_CA6_ion_torrent_NODE_120_length_6563_cov_31361555,Human,Primate,37,6566,,,,,,,
Family6_Ly_CA87_ion_torrent_NODE_56_length_6608_cov_117525713,Human,Primate,38,6608,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family6_MG641188,Lepus americanus,Other mammal,37,6357,,,,,,,
Family6_MG883712,Pig,Other mammal,35,5754,,,,,,,
Family6_MG945130,Dog,Other mammal,41,6208,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,n/a
Family6_MG945169,Pig,Other mammal,43,5882,,,,,,,
Family6_MG945177,Pig,Other mammal,38,6004,,,,,,,
Family6_MG945256,Dog,Other mammal,41,6576,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,n/a
Family6_MG945284,Alces alces,Other mammal,36,6216,,,,,,,
Family6_MG945309,Yak,Other mammal,43,6176,,,,,,,
Family6_MG945349,Pig,Other mammal,37,5877,,,,,,,
Family6_MG945433,Yak,Other mammal,42,6079,,,,,,,
Family6_MG945457,Pig,Other mammal,39,6140,,,,,,,
Family6_MG945462,Pig,Other mammal,38,5924,,,,,,,
Family6_MG945493,Cow,Other mammal,42,6228,,,,,,,
Family6_MG945495,Pig,Other mammal,38,5923,,,,,,,
